block_id,page_id,display_order,block_type,heading_en,body_en,heading_ar,body_ar,safety_level,status,visible,review_required_level
block_lhm_1,lifestyle_health_monitoring,1,hero,Start here,"Use this page first for daily health habits, diet basics, blood pressure and sugar monitoring, and simple safety notes.",AR_PENDING__block_lhm_1__heading,AR_PENDING__block_lhm_1__body,yellow,published,TRUE,clinician
block_lhm_2,lifestyle_health_monitoring,2,checklist,Today’s basics,"Eat regular meals, drink water, move daily, sleep consistently, take medicines as prescribed, and record readings if advised.",AR_PENDING__block_lhm_2__heading,AR_PENDING__block_lhm_2__body,green,published,TRUE,general
block_diet_1,balanced_plate,1,diet,Build your plate,"Half vegetables, quarter protein, quarter starch. Water is the default drink.",AR_PENDING__block_diet_1__heading,AR_PENDING__block_diet_1__body,green,published,TRUE,clinician
block_diet_2,balanced_plate,2,caution,Simple caution,Patients on insulin or medicines that can cause low sugar should not skip meals without a care plan.,AR_PENDING__block_diet_2__heading,AR_PENDING__block_diet_2__body,yellow,published,TRUE,clinician
block_bp_1,bp_numbers,1,monitoring,Know your numbers,One reading is not the whole story. Track patterns and symptoms.,AR_PENDING__block_bp_1__heading,AR_PENDING__block_bp_1__body,yellow,published,TRUE,clinician
block_bp_2,bp_numbers,2,action,When it is urgent,"Very high blood pressure with chest pain, severe shortness of breath, weakness, speech difficulty, or vision change needs emergency care.",AR_PENDING__block_bp_2__heading,AR_PENDING__block_bp_2__body,red,published,TRUE,clinician
block_symptom_1,symptom_cough_cold,1,symptom,Cough and cold,"Supportive care is often enough. Watch for breathing difficulty, chest pain, confusion, dehydration, or worsening illness.",AR_PENDING__block_symptom_1__heading,AR_PENDING__block_symptom_1__body,yellow,published,TRUE,clinician
block_condition_1,condition_urti_common_cold,1,condition,Common cold / URTI,"Most cases are viral. Rest, fluids, and symptom care are usually enough.",AR_PENDING__block_condition_1__heading,AR_PENDING__block_condition_1__body,green,published,TRUE,clinician
block_chronic_1,chronic_type2_diabetes,1,chronic,Type 2 diabetes,"Follow your care plan, track sugar as advised, and know the symptoms of low and high sugar.",AR_PENDING__block_chronic_1__heading,AR_PENDING__block_chronic_1__body,yellow,published,TRUE,clinician
block_emergency_1,emergency_chest_pain,1,emergency,Chest pain,"Seek emergency care now for chest pain, pressure, or heaviness, especially with sweating, shortness of breath, fainting, or weakness.",AR_PENDING__block_emergency_1__heading,AR_PENDING__block_emergency_1__body,red,published,TRUE,clinician
block_med_1,med_antibiotic_safety,1,medication,Antibiotic safety,Antibiotics do not treat most viral colds. Use only when prescribed.,AR_PENDING__block_med_1__heading,AR_PENDING__block_med_1__body,yellow,published,TRUE,clinician
block_special_1,special_ramadan_health,1,special,Ramadan note,Medication and insulin plans during fasting need doctor review before Ramadan.,AR_PENDING__block_special_1__heading,AR_PENDING__block_special_1__body,doctor_only,published,TRUE,doctor_only
